,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.696,0.692,0.716,0.648,0.688,0.664,0.724,0.688
F1,S,0.5996,0.6421,0.6415,0.6767,0.6296,0.6702,0.6929,0.6889
F.5,1,0.5793,0.5918,0.603,0.572,0.5799,0.5772,0.6224,0.5959
F2,C,0.6295,0.7087,0.6914,0.8323,0.6967,0.8039,0.7857,0.8204
Gmean,S,0.6736,0.6965,0.7105,0.6316,0.6893,0.6794,0.7409,0.7094
B_Acc,V,0.6872,0.7083,0.7198,0.7226,0.7028,0.7229,0.7552,0.7441
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.84,0.832,0.856,0.384,0.848,0.852,0.848,0.796
F1,S,0.7692,0.7663,0.7916,0.5546,0.7781,0.7881,0.7813,0.7331
F.5,2,0.8137,0.7913,0.84,0.4379,0.8317,0.8267,0.8239,0.7481
F2,C,0.7351,0.7475,0.7512,0.7566,0.7336,0.7562,0.7471,0.7268
Gmean,S,0.8049,0.8059,0.8221,0,0.8107,0.8215,0.815,0.7722
B_Acc,V,0.8156,0.8135,0.8312,0.5,0.8212,0.8297,0.8245,0.7818
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7649,0.7681,0.7452,0.7027,0.7285,0.5495,0.5715,0.6201
F1,S,0.3583,0.4014,0.3637,0.5138,0.4562,0.4832,0.5175,0.477
F.5,3,0.4813,0.5068,0.4357,0.4811,0.4803,0.4041,0.4261,0.4206
F2,C,0.2918,0.3404,0.3191,0.5621,0.4473,0.615,0.6721,0.5642
Gmean,S,0.4801,0.5226,0.4775,0.6564,0.5961,0.5788,0.6133,0.6086
B_Acc,V,0.604,0.6221,0.6018,0.6724,0.639,0.6211,0.6636,0.6321
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8516,0.8742,0.829,0.8129,0.8645,0.8129,0.8161,0.8194
F1,S,0.7659,0.8012,0.6843,0.7717,0.7578,0.7693,0.7755,0.7745
F.5,4,0.7759,0.807,0.6918,0.7475,0.825,0.6929,0.6982,0.6993
F2,C,0.7609,0.7994,0.6852,0.8087,0.7075,0.8671,0.8751,0.87
Gmean,S,0.8218,0.85,0.7353,0.7711,0.799,0.8404,0.8447,0.8464
B_Acc,V,0.8276,0.8548,0.7926,0.8226,0.8162,0.8488,0.8538,0.8536
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.6937,0.675,0.6875,0.5,0.6312,0.5031,0.5188,0.5156
F1,S,0.3088,0.3084,0.2753,0.5549,0.4102,0.5534,0.5279,0.5531
F.5,5,0.446,0.4266,0.3951,0.448,0.4325,0.4476,0.436,0.4501
