,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.656,0.644,0.66,0.664,0.664,0.66,0.668,0.668,0.664
F1,S,0.5507,0.5189,0.5423,0.6152,0.6669,0.6045,0.6824,0.6357,0.6673
F.5,1,0.5342,0.518,0.5362,0.5609,0.5743,0.5514,0.583,0.5702,0.5753
F2,C,0.5718,0.5257,0.5548,0.685,0.7981,0.6739,0.8266,0.723,0.7981
Gmean,S,0.6337,0.606,0.626,0.6725,0.6848,0.6644,0.6861,0.6825,0.6842
B_Acc,V,0.6413,0.6198,0.6396,0.6816,0.7205,0.676,0.7333,0.6969,0.7205
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.82,0.808,0.836,0.84,0.816,0.844,0.676,0.808,0.808
F1,S,0.7561,0.7445,0.7732,0.7712,0.7465,0.7751,0.6623,0.7388,0.739
F.5,2,0.7641,0.7458,0.7922,0.8111,0.7723,0.8176,0.5938,0.7599,0.7609
F2,C,0.7549,0.7501,0.7617,0.7375,0.7274,0.739,0.7533,0.7242,0.7242
Gmean,S,0.7991,0.7897,0.8119,0.8083,0.7884,0.811,0.6854,0.782,0.7815
B_Acc,V,0.807,0.7974,0.8201,0.8168,0.7968,0.8199,0.7054,0.7903,0.7901
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7417,0.7385,0.7449,0.7649,0.7061,0.7584,0.2615,0.7094,0.7029
F1,S,0.2283,0.2061,0.2465,0.4033,0.52,0.4244,0.4046,0.546,0.4934
F.5,3,0.35,0.3083,0.3794,0.5062,0.4885,0.5126,0.301,0.5039,0.4716
F2,C,0.1733,0.1582,0.1865,0.3411,0.565,0.3727,0.6177,0.6041,0.5272
Gmean,S,0.3347,0.2994,0.3673,0.5234,0.6603,0.5481,0.04456,0.6851,0.636
B_Acc,V,0.5528,0.5465,0.5583,0.62,0.6746,0.6275,0.4839,0.6931,0.6576
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8129,0.829,0.8452,0.8548,0.829,0.8419,0.7806,0.8226,0.8
F1,S,0.6761,0.7069,0.7646,0.7693,0.7605,0.7161,0.7476,0.766,0.7505
F.5,4,0.7326,0.7542,0.7617,0.7823,0.7372,0.7763,0.6571,0.7202,0.6784
F2,C,0.6333,0.6703,0.7722,0.7621,0.7922,0.6728,0.87,0.8229,0.8424
Gmean,S,0.7412,0.7665,0.8238,0.8234,0.8224,0.7706,0.8166,0.8309,0.824
B_Acc,V,0.7598,0.7821,0.8281,0.83,0.8267,0.7917,0.8329,0.835,0.8314
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.675,0.6687,0.675,0.6719,0.5,0.5844,0.4,0.5875,0.5219
F1,S,0.2464,0.2425,0.2817,0.2524,0.54,0.3053,0.5175,0.442,0.4601
F.5,5,0.3785,0.3646,0.4105,0.375,0.4391,0.3355,0.4053,0.4206,0.4021
F2,C,0.1844,0.1835,0.216,0.1923,0.7017,0.2829,0.7161,0.4704,0.5478
Gmean,S,0.3763,0.3741,0.4083,0.3615,0.514,0.4414,0.3241,0.5503,0.5162
B_Acc,V,0.546,0.5412,0.5534,0.5453,0.5934,0.5061,0.5404,0.564,0.551
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8655,0.8687,0.8655,0.8564,0.7795,0.8165,0.7307,0.7583,0.7489
F1,S,0.06667,0.09048,0.115,0.08333,0.3445,0.1694,0.3949,0.4059,0.4021
F.5,6,0.08333,0.1042,0.1375,0.09167,0.3106,0.1604,0.3164,0.3386,0.3288
F2,C,0.05556,0.08041,0.1044,0.07778,0.3958,0.183,0.5288,0.5152,0.5232
Gmean,S,0.09823,0.1186,0.1655,0.1173,0.5679,0.2834,0.7073,0.6932,0.7
B_Acc,V,0.518,0.5305,0.5395,0.5235,0.639,0.552,0.7134,0.7079,0.7132
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.6554,0.6557,0.6313,0.6312,0.5274,0.5918,0.4298,0.5761,0.5548
F1,S,0.1345,0.176,0.2002,0.2108,0.4432,0.3211,0.4576,0.4394,0.413
F.5,7,0.178,0.2358,0.2528,0.2567,0.3866,0.3235,0.367,0.4039,0.3742
F2,C,0.1098,0.1433,0.1704,0.1864,0.5225,0.3208,0.6086,0.4862,0.4636
Gmean,S,0.2237,0.2941,0.3346,0.3251,0.5391,0.4482,0.4542,0.5562,0.5335
B_Acc,V,0.5027,0.5113,0.5011,0.5051,0.5473,0.5176,0.5266,0.5628,0.5416
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8866,0.8866,0.8924,0.8926,0.8984,0.8925,0.8743,0.8773,0.8595
F1,S,0.4488,0.4488,0.6044,0.5988,0.7295,0.5691,0.6947,0.6991,0.6724
F.5,8,0.5355,0.5355,0.6329,0.6333,0.6454,0.6243,0.5981,0.6034,0.5732
F2,C,0.3932,0.3932,0.5821,0.5807,0.8412,0.5532,0.8313,0.8337,0.8174
Gmean,S,0.5496,0.5496,0.7296,0.7242,0.9142,0.7012,0.9079,0.9095,0.8983
B_Acc,V,0.6703,0.6703,0.7588,0.7613,0.9158,0.7531,0.9099,0.9117,0.9012
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8363,0.8422,0.8392,0.8602,0.8364,0.8602,0.7203,0.774,0.7741
F1,S,0.5863,0.5956,0.5819,0.6634,0.6418,0.6643,0.5793,0.598,0.6059
F.5,9,0.6734,0.6946,0.6821,0.7312,0.6785,0.7332,0.5127,0.5624,0.5667
F2,C,0.5259,0.5287,0.5156,0.6163,0.6231,0.6165,0.6784,0.648,0.6587
Gmean,S,0.6768,0.6796,0.6686,0.7402,0.7397,0.7401,0.7298,0.7385,0.7451
B_Acc,V,0.7199,0.7238,0.7176,0.7684,0.7613,0.7684,0.7385,0.7455,0.7499
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7107,0.7364,0.7277,0.7596,0.6792,0.7511,0.6275,0.7194,0.708
F1,S,0.5615,0.6085,0.5929,0.6452,0.6263,0.6083,0.6439,0.6558,0.6431
F.5,10,0.5876,0.6277,0.6142,0.6842,0.5844,0.6691,0.5563,0.627,0.6157
F2,C,0.5448,0.5996,0.5803,0.6151,0.6776,0.5632,0.7683,0.6908,0.6766
Gmean,S,0.6399,0.6775,0.6658,0.7103,0.6822,0.6791,0.6373,0.7136,0.7019
B_Acc,V,0.6764,0.7087,0.6973,0.7281,0.687,0.7096,0.6779,0.7192,0.7071
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8803,0.8718,0.889,0.8632,0.869,0.8832,0.849,0.8576,0.8548
F1,S,0.8056,0.784,0.8311,0.7797,0.7915,0.8047,0.7938,0.7793,0.7719
F.5,11,0.8909,0.8887,0.882,0.8558,0.8559,0.9038,0.7908,0.8348,0.8312
F2,C,0.7376,0.7034,0.7884,0.7182,0.7384,0.7275,0.8045,0.7338,0.7258
Gmean,S,0.8269,0.8062,0.8544,0.8098,0.822,0.8233,0.837,0.8143,0.8083
B_Acc,V,0.8407,0.8249,0.8617,0.8238,0.8339,0.84,0.8418,0.825,0.8211
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9944,0.9944,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972
F1,S,0.9905,0.9905,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957
F.5,12,0.9961,0.9961,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932
F2,C,0.9852,0.9852,0.9982,0.9982,0.9982,0.9982,0.9982,0.9982,0.9982
Gmean,S,0.9907,0.9907,0.998,0.998,0.998,0.998,0.998,0.998,0.998
B_Acc,V,0.9909,0.9909,0.998,0.998,0.998,0.998,0.998,0.998,0.998
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8046,0.7991,0.7852,0.7992,0.6393,0.7854,0.46,0.6448,0.642
F1,S,0.2811,0.2725,0.3031,0.2792,0.3875,0.2817,0.4173,0.3932,0.3788
F.5,13,0.393,0.3701,0.3895,0.384,0.3463,0.3738,0.3232,0.3521,0.342
F2,C,0.227,0.2246,0.2581,0.2266,0.4435,0.2352,0.5907,0.4468,0.4267
Gmean,S,0.3545,0.3524,0.4032,0.3539,0.5727,0.3812,0.5222,0.5786,0.5642
B_Acc,V,0.5959,0.5924,0.5951,0.5923,0.5891,0.587,0.5863,0.5919,0.5812
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9151,0.9151,0.9151,0.9151,0.5856,0.8678,0.3591,0.5255,0.5496
F1,S,0,0,0,0,0.1075,0.1886,0.13,0.1393,0.1304
F.5,14,0,0,0,0,0.07743,0.2476,0.08883,0.09921,0.09299
F2,C,0,0,0,0,0.1776,0.1639,0.2427,0.2364,0.221
Gmean,S,0,0,0,0,0.3494,0.2697,0.4177,0.4518,0.4385
B_Acc,V,0.5,0.5,0.5,0.5,0.4677,0.55,0.4606,0.4956,0.4935
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8688,0.8661,0.8739,0.853,0.8609,0.8582,0.7508,0.8161,0.7901
F1,S,0.2508,0.2508,0.3843,0.3289,0.4415,0.3754,0.3777,0.438,0.3917
F.5,15,0.3595,0.3595,0.4511,0.3955,0.4732,0.4279,0.3212,0.3888,0.3413
F2,C,0.1948,0.1948,0.3432,0.2892,0.429,0.3388,0.4657,0.5031,0.4658
Gmean,S,0.3147,0.3147,0.4614,0.4181,0.5741,0.4819,0.6048,0.6113,0.5828
B_Acc,V,0.5819,0.5804,0.6477,0.6132,0.6824,0.6367,0.6716,0.7102,0.6863
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8344,0.8496,0.8574,0.8548,0.8776,0.8499,0.8087,0.8853,0.8394
F1,S,0.7967,0.817,0.8149,0.809,0.8508,0.7832,0.7987,0.8603,0.8128
F.5,16,0.7695,0.7852,0.8059,0.8051,0.815,0.8156,0.7173,0.8246,0.7643
F2,C,0.8311,0.8554,0.8275,0.8171,0.8933,0.7568,0.9038,0.9016,0.872
Gmean,S,0.8368,0.8548,0.8516,0.8463,0.8851,0.8199,0.8311,0.8932,0.8513
B_Acc,V,0.8401,0.8574,0.8539,0.8493,0.8878,0.8281,0.8463,0.8952,0.8562
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7775,0.78,0.7625,0.8,0.6475,0.8225,0.475,0.7275,0.6475
F1,S,0.07818,0.08,0.1301,0.452,0.437,0.5557,0.4419,0.494,0.4415
